-2214.272, 725.1755, 123.4401, 0x66884588 (door) (amv_zone_0.ymt), ff9d00
-942.871, -1391.963, 51.49423, amv_blackwater1 (amv_zone_1.ymt), ff9d00
-1025.795, -1623.219, 82.90707, amv_blackwater_south_res (amv_zone_1.ymt), ff9d00
-1036.032, -1662.971, 92.78207, amv_blackwater_south_res (amv_zone_1.ymt), ff9d00
-1023.455, -1626.563, 79.40707, amv_blackwater_south_res (amv_zone_1.ymt), ff9d00
-1063.214, -1641.036, 80.087, amv_blackwater_south_res (amv_zone_1.ymt), ff9d00
-1023.252, -1618.077, 79.35706, amv_blackwater_south_res (amv_zone_1.ymt), ff9d00
-871.6155, -1645.615, 75.40707, amv_blackwater_south_res (amv_zone_1.ymt), ff9d00
-862.5227, -1628.778, 68.90707, amv_blackwater_south_res (amv_zone_1.ymt), ff9d00
-878.7314, -1641.94, 70.15707, amv_blackwater_south_res (amv_zone_1.ymt), ff9d00
-878.6335, -1647.769, 76.78207, amv_blackwater_south_res (amv_zone_1.ymt), ff9d00
-326.9415, 776.6273, 121.7544, 0x66884588 (door) (amv_zone_10.ymt), ff9d00
-329.9646, 776.0989, 121.7544, 0x66884588 (door) (amv_zone_10.ymt), ff9d00
-323.9179, 777.1606, 121.7544, amv_doors (amv_zone_10.ymt), ff9d00
-326.282, 776.7507, 121.7544, 0x66884588 (door) (amv_zone_10.ymt), ff9d00
-323.2431, 777.2868, 121.7544, 0x66884588 (door) (amv_zone_10.ymt), ff9d00
-329.2885, 776.2168, 121.7544, 0x66884588 (door) (amv_zone_10.ymt), ff9d00
-319.9165, 778.8779, 118.2298, amv_valentine_02 (amv_zone_10.ymt), ff9d00
-326.5654, 777.6856, 119.5498, amv_valentine_02 (amv_zone_10.ymt), ff9d00
-321.8561, 757.2626, 119.9798, amv_valentine_02 (amv_zone_10.ymt), ff9d00
-330.491, 768.6747, 117.6048, amv_valentine_02 (amv_zone_10.ymt), ff9d00
-320.3938, 768.4424, 122.1548, amv_valentine_02 (amv_zone_10.ymt), ff9d00
-339.213, 767.9456, 117.4923, amv_valentine_02 (amv_zone_10.ymt), ff9d00
-325.7498, 765.6777, 122.1578, amv_valentine_interiors (amv_zone_10.ymt), ff9d00
-327.2719, 774.1398, 122.3318, amv_valentine_interiors (amv_zone_10.ymt), ff9d00
-321.9378, 768.1888, 122.2128, amv_valentine_interiors (amv_zone_10.ymt), ff9d00
-324.8573, 760.5292, 118.2278, amv_valentine_interiors (amv_zone_10.ymt), ff9d00
-326.4434, 769.7554, 120.4378, amv_valentine_interiors (amv_zone_10.ymt), ff9d00
-324.9146, 760.5089, 122.3178, amv_valentine_interiors (amv_zone_10.ymt), ff9d00
-321.4139, 765.275, 118.2628, amv_valentine_interiors (amv_zone_10.ymt), ff9d00
-325.7586, 765.6761, 118.0778, amv_valentine_interiors (amv_zone_10.ymt), ff9d00
-326.0965, 773.8347, 118.0578, amv_valentine_interiors (amv_zone_10.ymt), ff9d00
-322.5334, 771.4586, 117.5547, amv_valentine_interiors (amv_zone_10.ymt), ff9d00
-327.205, 770.6938, 118.476, amv_valentine_interiors (amv_zone_10.ymt), ff9d00
-323.3352, 770.2496, 122.0427, amv_valentine_interiors (amv_zone_10.ymt), ff9d00
-325.4459, 773.4529, 116.9267, amv_valentine_interiors (amv_zone_10.ymt), ff9d00
-324.0846, 774.1158, 121.7279, amv_doors (amv_zone_10.ymt), ff9d00
-320.3313, 759.137, 121.7311, 0x66884588 (door) (amv_zone_10.ymt), ff9d00
-322.8442, 767.1981, 121.7273, amv_doors (amv_zone_10.ymt), ff9d00
-319.8709, 762.5723, 117.5397, amv_doors (amv_zone_10.ymt), ff9d00
-321.9868, 762.1925, 121.7269, amv_doors (amv_zone_10.ymt), ff9d00
-322.5315, 765.3256, 117.5397, amv_doors (amv_zone_10.ymt), ff9d00
-321.9752, 762.1973, 117.5397, amv_doors (amv_zone_10.ymt), ff9d00
-326.8329, 776.6462, 117.556, 0x66884588 (door) (amv_zone_10.ymt), ff9d00
-315.1524, 731.032, 120.7548, amv_valentine_02 (amv_zone_10.ymt), ff9d00
-385.0446, 730.7652, 116.4918, amv_valentine_05 (amv_zone_10.ymt), ff9d00
-396.574, 670.6574, 115.9918, amv_valentine_05 (amv_zone_10.ymt), ff9d00
-375.8533, 721.923, 117.7418, amv_valentine_05 (amv_zone_10.ymt), ff9d00
-354.5038, 725.436, 117.7418, amv_valentine_05 (amv_zone_10.ymt), ff9d00
-430.5432, 652.0192, 115.2418, amv_valentine_05 (amv_zone_10.ymt), ff9d00
-408.2432, 654.7692, 117.7418, amv_valentine_05 (amv_zone_10.ymt), ff9d00
-363.9711, 718.3425, 117.6168, amv_valentine_05 (amv_zone_10.ymt), ff9d00
-347.8238, 697.1926, 118.199, amv_val_magic_lantern_int (amv_zone_10.ymt), ff9d00
-351.8724, 704.7315, 118.0465, amv_val_magic_lantern_int (amv_zone_10.ymt), ff9d00
-348.1457, 698.9762, 119.492, amv_val_magic_lantern_int (amv_zone_10.ymt), ff9d00
-349.6999, 704.1957, 118.199, amv_val_magic_lantern_int (amv_zone_10.ymt), ff9d00
-349.3079, 703.0958, 118.2122, amv_val_magic_lantern_int (amv_zone_10.ymt), ff9d00
-361.9193, 788.5473, 117.2908, 0x66884588 (door) (amv_zone_10.ymt), ff9d00
-376.8885, 787.6738, 117.2557, 0x66884588 (door) (amv_zone_10.ymt), ff9d00
-361.7783, 753.6329, 116.9918, amv_valentine_05 (amv_zone_10.ymt), ff9d00
-356.3254, 738.1174, 117.7418, amv_valentine_05 (amv_zone_10.ymt), ff9d00
-369.489, 789.8101, 119.4918, amv_valentine_05 (amv_zone_10.ymt), ff9d00
-372.5685, 748.0732, 116.4918, amv_valentine_05 (amv_zone_10.ymt), ff9d00
-369.2769, 786.811, 118.7333, amv_val_stable_int (amv_zone_10.ymt), ff9d00
-362.8747, 779.8482, 117.0527, amv_val_stable_int (amv_zone_10.ymt), ff9d00
-365.7746, 779.7458, 117.0527, amv_val_stable_int (amv_zone_10.ymt), ff9d00
-368.8362, 779.592, 117.0527, amv_val_stable_int (amv_zone_10.ymt), ff9d00
-371.9322, 779.4258, 117.0527, amv_val_stable_int (amv_zone_10.ymt), ff9d00
-361.788, 786.3271, 117.2904, 0x66884588 (door) (amv_zone_10.ymt), ff9d00
-376.7428, 785.4513, 117.2553, 0x66884588 (door) (amv_zone_10.ymt), ff9d00
-1761.636, -379.5039, 157.8343, 0x66884588 (door) (amv_zone_100.ymt), ff9d00
-1679.197, -336.3727, 174.093, 0x66884588 (door) (amv_zone_100.ymt), ff9d00
-1682.38, -340.9267, 174.0858, 0x66884588 (door) (amv_zone_100.ymt), ff9d00
-1758.976, -380.8356, 159.1292, amv_strawberry1 (amv_zone_100.ymt), ff9d00
-1746.675, -379.8662, 162.7542, amv_strawberry1 (amv_zone_100.ymt), ff9d00
-1762.344, -376.4934, 159.1292, amv_strawberry1 (amv_zone_100.ymt), ff9d00
-1741.644, -374.9487, 164.1292, amv_strawberry1 (amv_zone_100.ymt), ff9d00
-1751.64, -385.4905, 160.2542, amv_strawberry1 (amv_zone_100.ymt), ff9d00
-1755.841, -390.3106, 159.7542, amv_strawberry1 (amv_zone_100.ymt), ff9d00
-1759.069, -386.4168, 160.2542, amv_strawberry1 (amv_zone_100.ymt), ff9d00
-1738.595, -369.7865, 169.2542, amv_strawberry1 (amv_zone_100.ymt), ff9d00
-1762.169, -384.3994, 159.4351, amv_strawberry3 (amv_zone_100.ymt), ff9d00
-1763.495, -378.3041, 158.3101, amv_strawberry3 (amv_zone_100.ymt), ff9d00
-1763.445, -378.2781, 158.3461, amv_strawberry_freight_int (amv_zone_100.ymt), ff9d00
-1763.469, -378.2855, 158.2944, amv_strawberry_freight_int (amv_zone_100.ymt), ff9d00
-1680.722, -338.6877, 175.9625, amv_tax_int (amv_zone_100.ymt), ff9d00
-1679.749, -339.4323, 171.1652, amv_tax_int (amv_zone_100.ymt), ff9d00
-1685.601, -335.0649, 172.9377, amv_tax_int (amv_zone_100.ymt), ff9d00
-1685.682, -335.184, 177.7711, amv_tax_int (amv_zone_100.ymt), ff9d00
-1683.376, -334.4143, 171.1517, amv_tax_int (amv_zone_100.ymt), ff9d00
-1683.186, -334.5936, 174.1277, amv_tax_int (amv_zone_100.ymt), ff9d00
-1676.951, -341.2679, 174.2161, amv_tax_int (amv_zone_100.ymt), ff9d00
-1746.698, -381.282, 158.0042, amv_strawberry1 (amv_zone_100.ymt), ff9d00
-1749.912, -377.9225, 159.5042, amv_strawberry1 (amv_zone_100.ymt), ff9d00
-1752.895, -375.9079, 161.0042, amv_strawberry1 (amv_zone_100.ymt), ff9d00
-1754.918, -370.3703, 163.7542, amv_strawberry1 (amv_zone_100.ymt), ff9d00
-1756.373, -364.4205, 165.8792, amv_strawberry1 (amv_zone_100.ymt), ff9d00
-1760.603, -385.481, 158.2461, amv_strawberry_freight_int (amv_zone_100.ymt), ff9d00
-1727.287, -83.19005, 183.1997, amv_shack_mh (amv_zone_100.ymt), ff9d00
2819.527, 1288.424, 89.7756, amv_annesburgh2 (amv_zone_101.ymt), ff9d00
2817.218, 1355.617, 70.92754, amv_annesburgh2 (amv_zone_101.ymt), ff9d00
2838.34, 1321.008, 73.4006, amv_annesburgh2 (amv_zone_101.ymt), ff9d00
2770.515, 1341.936, 85.53181, amv_annesburgh2 (amv_zone_101.ymt), ff9d00
2828.766, 1304.047, 76.73533, amv_annesburgh2 (amv_zone_101.ymt), ff9d00
2838.015, 1359.834, 67.23276, amv_annesburgh2 (amv_zone_101.ymt), ff9d00
2824.936, 1351.595, 69.1506, amv_annesburgh2 (amv_zone_101.ymt), ff9d00
2831.76, 1354.933, 68.33019, amv_annesburgh2 (amv_zone_101.ymt), ff9d00
2830.764, 1345.115, 68.59416, amv_annesburgh2 (amv_zone_101.ymt), ff9d00
2824.564, 1328.627, 70.1506, amv_annesburgh2 (amv_zone_101.ymt), ff9d00
2797.447, 1349.145, 74.17754, amv_annesburgh2 (amv_zone_101.ymt), ff9d00
2735.523, 1315.419, 70.50845, amv_annesburg_mine_int (amv_zone_101.ymt), ff9d00
2723.159, 1311.034, 83.56845, amv_annesburg_mine_int (amv_zone_101.ymt), ff9d00
2722.292, 1311.23, 93.72137, amv_annesburg_mine_int (amv_zone_101.ymt), ff9d00
2724.193, 1310.722, 73.05669, amv_annesburg_mine_int (amv_zone_101.ymt), ff9d00
2769.585, 1340.543, 71.01503, amv_annesburg_mine_int (amv_zone_101.ymt), ff9d00
2761.358, 1334.653, 70.84326, amv_annesburg_mine_int (amv_zone_101.ymt), ff9d00
2781.45, 1339.086, 71.5615, amv_annesburg_mine_int (amv_zone_101.ymt), ff9d00
2788.442, 1339.698, 73.77447, amv_annesburg_mine_int (amv_zone_101.ymt), ff9d00
2763.87, 1351.105, 70.84469, amv_annesburg_mine_int (amv_zone_101.ymt), ff9d00
2751.084, 1349.08, 69.5974, amv_annesburg_mine_int (amv_zone_101.ymt), ff9d00
2739.538, 1344.693, 69.01517, amv_annesburg_mine_int (amv_zone_101.ymt), ff9d00
2740.338, 1362.172, 69.10703, amv_annesburg_mine_int (amv_zone_101.ymt), ff9d00
2776.553, 1339.562, 71.35337, amv_annesburg_mine_int (amv_zone_101.ymt), ff9d00
2870.674, 1388.756, 76.40833, amv_annesburgh1 (amv_zone_102.ymt), ff9d00
2868.43, 1405.985, 70.28333, amv_annesburgh1 (amv_zone_102.ymt), ff9d00
2814.004, 1376.327, 72.26099, amv_annesburgh2 (amv_zone_102.ymt), ff9d00
2824.008, 1372.253, 70.55486, amv_annesburgh2 (amv_zone_102.ymt), ff9d00
2824.048, 1381.454, 70.56896, amv_annesburgh2 (amv_zone_102.ymt), ff9d00
2859.799, 1447.69, 72.54406, amv_annesburgh2 (amv_zone_102.ymt), ff9d00
2794.091, 1389.877, 83.15681, amv_annesburgh2 (amv_zone_102.ymt), ff9d00
2849.085, 1379.852, 69.41157, amv_annesburgh2 (amv_zone_102.ymt), ff9d00
2799.675, 1376.091, 72.49898, amv_annesburgh2 (amv_zone_102.ymt), ff9d00
2853.814, 1366.06, 67.41156, amv_annesburgh2 (amv_zone_102.ymt), ff9d00
2843.165, 1365.983, 68.41156, amv_annesburgh2 (amv_zone_102.ymt), ff9d00
2841.782, 1445.405, 73.16156, amv_annesburgh2 (amv_zone_102.ymt), ff9d00
2842.999, 1395.696, 76.66156, amv_annesburgh2 (amv_zone_102.ymt), ff9d00
2766.524, 1370.735, 70.56004, amv_annesburg_mine_int (amv_zone_102.ymt), ff9d00
2733.831, 1404.791, 69.60239, amv_annesburg_mine_int (amv_zone_102.ymt), ff9d00
2728.34, 1372.675, 69.3004, amv_annesburg_mine_int (amv_zone_102.ymt), ff9d00
2733.492, 1380.92, 69.41982, amv_annesburg_mine_int (amv_zone_102.ymt), ff9d00
2742.086, 1373.111, 69.1975, amv_annesburg_mine_int (amv_zone_102.ymt), ff9d00
2762.369, 1397.197, 69.55836, amv_annesburg_mine_int (amv_zone_102.ymt), ff9d00
2779.513, 1391.578, 70.54544, amv_annesburg_mine_int (amv_zone_102.ymt), ff9d00
2773.242, 1396.948, 69.93149, amv_annesburg_mine_int (amv_zone_102.ymt), ff9d00
2792.46, 1396.589, 70.02496, amv_annesburg_mine_int (amv_zone_102.ymt), ff9d00
2797.198, 1386.795, 71.5228, amv_annesburg_mine_int (amv_zone_102.ymt), ff9d00
2798.346, 1378.446, 72.39155, amv_annesburg_mine_int (amv_zone_102.ymt), ff9d00
2746.22, 1412.651, 85.20167, amv_annesburg_mine_int (amv_zone_102.ymt), ff9d00
2746.311, 1412.987, 97.22295, amv_annesburg_mine_int (amv_zone_102.ymt), ff9d00
2876.596, 1403.717, 69.49795, amv_annesburgh1 (amv_zone_102.ymt), ff9d00
2854.405, 1366.971, 66.32969, amv_ann_miner_checkin_int (amv_zone_102.ymt), ff9d00
2857.353, 1442.954, 72.16906, amv_annesburgh2 (amv_zone_102.ymt), ff9d00
2797.686, 1380.461, 71.82011, amv_annesburg_mine_int (amv_zone_102.ymt), ff9d00
2746.22, 1412.651, 72.40166, amv_annesburg_mine_int (amv_zone_102.ymt), ff9d00
2874.883, 1397.277, 68.77888, 0x66884588 (door) (amv_zone_102.ymt), ff9d00
2924.625, 1271.544, 44.981, 0x66884588 (door) (amv_zone_103.ymt), ff9d00
2928.226, 1268.673, 44.99741, 0x66884588 (door) (amv_zone_103.ymt), ff9d00
2925.011, 1272.57, 44.981, 0x66884588 (door) (amv_zone_103.ymt), ff9d00
2938.213, 1292.921, 44.98362, 0x66884588 (door) (amv_zone_103.ymt), ff9d00
2933.825, 1268.203, 44.98076, 0x66884588 (door) (amv_zone_103.ymt), ff9d00
2929.251, 1268.287, 44.99814, 0x66884588 (door) (amv_zone_103.ymt), ff9d00
2941.552, 1289.387, 44.98014, 0x66884588 (door) (amv_zone_103.ymt), ff9d00
2928.368, 1284.624, 44.98037, 0x66884588 (door) (amv_zone_103.ymt), ff9d00
2937.188, 1293.307, 44.98362, 0x66884588 (door) (amv_zone_103.ymt), ff9d00
2932.395, 1292.723, 44.98214, 0x66884588 (door) (amv_zone_103.ymt), ff9d00
2934.21, 1269.229, 44.98079, 0x66884588 (door) (amv_zone_103.ymt), ff9d00
2911.335, 1310.324, 45.03262, 0x66884588 (door) (amv_zone_103.ymt), ff9d00
2930.365, 1272.813, 46.92595, amv_annesburgh1 (amv_zone_103.ymt), ff9d00
2928.897, 1284.282, 45.55095, amv_annesburgh1 (amv_zone_103.ymt), ff9d00
2906.442, 1312.178, 46.65833, amv_annesburgh1 (amv_zone_103.ymt), ff9d00
2906.464, 1312.168, 46.21095, amv_annesburgh1 (amv_zone_103.ymt), ff9d00
2938.41, 1280.924, 45.52595, amv_annesburgh1 (amv_zone_103.ymt), ff9d00
2935.418, 1286.76, 45.12595, amv_annesburgh1 (amv_zone_103.ymt), ff9d00
2933.984, 1282.616, 45.55095, amv_annesburgh1 (amv_zone_103.ymt), ff9d00
2950.25, 1315.883, 45.75095, amv_annesburgh1 (amv_zone_103.ymt), ff9d00
2933.092, 1280.793, 49.15833, amv_annesburgh1 (amv_zone_103.ymt), ff9d00
2946.307, 1301.963, 45.40833, amv_annesburgh1 (amv_zone_103.ymt), ff9d00
2902.036, 1311.859, 45.36095, amv_annesburgh1 (amv_zone_103.ymt), ff9d00
2937.161, 1281.991, 45.55095, amv_annesburgh1 (amv_zone_103.ymt), ff9d00
2904.594, 1300.034, 47.90833, amv_annesburgh1 (amv_zone_103.ymt), ff9d00
2936.926, 1291.09, 45.55095, amv_annesburgh1 (amv_zone_103.ymt), ff9d00
2931.055, 1284.215, 45.52595, amv_annesburgh1 (amv_zone_103.ymt), ff9d00
2902.729, 1313.601, 47.61095, amv_annesburgh1 (amv_zone_103.ymt), ff9d00
2948.775, 1288.162, 45.40833, amv_annesburgh1 (amv_zone_103.ymt), ff9d00
2933.678, 1280.178, 44.76123, amv_annesburgh1 (amv_zone_103.ymt), ff9d00
2932.009, 1277.323, 44.10718, amv_annesburgh1 (amv_zone_103.ymt), ff9d00
2928.208, 1284.663, 44.8474, amv_annesburgh1 (amv_zone_103.ymt), ff9d00
2911.314, 1310.331, 45.03262, amv_annesburgh1 (amv_zone_103.ymt), ff9d00
2935.49, 1286.755, 45.1469, amv_annesburgh1 (amv_zone_103.ymt), ff9d00
2933.219, 1280.796, 47.04369, amv_ann_depot_int (amv_zone_103.ymt), ff9d00
2935.478, 1286.741, 44.79044, amv_ann_depot_int (amv_zone_103.ymt), ff9d00
2938.859, 1280.923, 45.31992, amv_ann_depot_int (amv_zone_103.ymt), ff9d00
2939.152, 1287, 45.35925, amv_ann_depot_int (amv_zone_103.ymt), ff9d00
2928.995, 1284.515, 45.41992, amv_ann_depot_int (amv_zone_103.ymt), ff9d00
2942.147, 1288.138, 43.40833, amv_annesburgh1 (amv_zone_103.ymt), ff9d00
2943.449, 1321.032, 45.37055, 0x66884588 (door) (amv_zone_104.ymt), ff9d00
2945.292, 1333.72, 44.77766, 0x66884588 (door) (amv_zone_104.ymt), ff9d00
2953.481, 1330.74, 44.77766, 0x66884588 (door) (amv_zone_104.ymt), ff9d00
2943.218, 1320.398, 45.3702, 0x66884588 (door) (amv_zone_104.ymt), ff9d00
2953.442, 1317.011, 44.92493, 0x66884588 (door) (amv_zone_104.ymt), ff9d00
2903.717, 1334.032, 49.15833, amv_annesburgh1 (amv_zone_104.ymt), ff9d00
2948.888, 1318.678, 46.53333, amv_annesburgh1 (amv_zone_104.ymt), ff9d00
2949.131, 1332.29, 47.65833, amv_annesburgh1 (amv_zone_104.ymt), ff9d00
2920.876, 1348.064, 47.65833, amv_annesburgh1 (amv_zone_104.ymt), ff9d00
2908.136, 1358.667, 50.65833, amv_annesburgh1 (amv_zone_104.ymt), ff9d00
2958.579, 1350.001, 49.40833, amv_annesburgh1 (amv_zone_104.ymt), ff9d00
2948.869, 1318.644, 45.75463, amv_annesburgh1 (amv_zone_104.ymt), ff9d00
2913.27, 1328.222, 46.15833, amv_annesburgh1 (amv_zone_104.ymt), ff9d00
2950.562, 1320.399, 45.75095, amv_annesburgh1 (amv_zone_104.ymt), ff9d00
2920.871, 1343.81, 36.36393, amv_ann_settlers_int (amv_zone_104.ymt), ff9d00
2952.705, 1334.797, 44.98763, amv_ann_roomnbath_int (amv_zone_104.ymt), ff9d00
2946.062, 1329.648, 44.98029, amv_ann_roomnbath_int (amv_zone_104.ymt), ff9d00
2945.722, 1334.762, 44.54755, amv_ann_roomnbath_int (amv_zone_104.ymt), ff9d00
2950.616, 1330.586, 44.55377, amv_ann_roomnbath_int (amv_zone_104.ymt), ff9d00
2949.369, 1332.212, 45.02681, amv_ann_roomnbath_int (amv_zone_104.ymt), ff9d00
2959.048, 1349.83, 41.90833, amv_annesburgh1 (amv_zone_104.ymt), ff9d00
2901.98, 1393.641, 62.40833, amv_annesburgh1 (amv_zone_105.ymt), ff9d00
2885.948, 1398.414, 68.90833, amv_annesburgh1 (amv_zone_105.ymt), ff9d00
2880.679, 1400.022, 69.69083, amv_annesburgh1 (amv_zone_105.ymt), ff9d00
2890.117, 1397.011, 67.74084, amv_annesburgh1 (amv_zone_105.ymt), ff9d00
2890.84, 1392.412, 66.29083, amv_annesburgh1 (amv_zone_105.ymt), ff9d00
2890.852, 1392.36, 66.31569, amv_annesburgh1 (amv_zone_105.ymt), ff9d00
2895.61, 1395.943, 65.36662, amv_annesburgh1 (amv_zone_105.ymt), ff9d00
2910.829, 1390.402, 60.11662, amv_annesburgh1 (amv_zone_105.ymt), ff9d00
2891.26, 1385.959, 61.78333, amv_annesburgh1 (amv_zone_105.ymt), ff9d00
2894.809, 1396.233, 65.91663, amv_annesburgh1 (amv_zone_105.ymt), ff9d00
2888.776, 1393.696, 64.99555, 0x66884588 (door) (amv_zone_105.ymt), ff9d00
2902.402, 1377.284, 55.15833, amv_annesburgh1 (amv_zone_105.ymt), ff9d00
2881.491, 1365.558, 66.90833, amv_annesburgh1 (amv_zone_105.ymt), ff9d00
2926.27, 1377.205, 56.31014, 0x66884588 (door) (amv_zone_106.ymt), ff9d00
2921.655, 1378.913, 57.24084, amv_annesburgh1 (amv_zone_106.ymt), ff9d00
2925.434, 1367.812, 47.28333, amv_annesburgh1 (amv_zone_106.ymt), ff9d00
2947.763, 1377.456, 58.59083, amv_annesburgh1 (amv_zone_106.ymt), ff9d00
2925.841, 1376.975, 55.15833, amv_annesburgh1 (amv_zone_106.ymt), ff9d00
2948.866, 1377.374, 53.15833, amv_annesburgh1 (amv_zone_106.ymt), ff9d00
2948.085, 1377.339, 52.67084, amv_annesburgh1 (amv_zone_106.ymt), ff9d00
2947.052, 1377.864, 58.52221, amv_annesburgh1 (amv_zone_106.ymt), ff9d00
