x, y, z, filename.yas (path), marker
-5531, -2930.2, -2.4, cutscene@gfh_fre_int.yas (mp001), 4cc922
-5531, -2930.2, -2.4, script@gfh@fre@ig2_jobbriefs@jobbriefs.yas (mp008), 4cc922
-5530.153, -2930.262, -2.3771, script@beat@town@banditoexecution@execute.yas (anim_0), 4cc922
-5530.153, -2930.262, -2.3771, script@mp@bounty@jail_dropoff@alive@tum_dropoff.yas (mp005), c92222
-5530.153, -2930.262, -2.3771, script@proc@bountyhunting@sheriff_rewards@tumbleweed@sitrelax_tweed.yas (anim_0), 4cc922
-5530.153, -2930.262, -2.3771, script@proc@bountyhunting@sheriff_rewards@tumbleweed@sitwriting_tweed.yas (anim_0), 4cc922
-5530.153, -2930.262, -2.3771, script@proc@bountyhunting@sheriff_rewards@tumbleweed@stand_tweed.yas (anim_0), 4cc922
-5529.4, -2934.7, 0, script@mpstory@mpgvo1@int_loops@session_screen.yas (mp005), n/a
-5529.741, -2926.348, -1.404071, script@proc@jailcells@tumbleweed_john.yas (anim_0), 9D00FF
-5529.914, -2925.073, -2.360119, lightrig_mp@prisonvignette@tumbleweed_prison_lighting.yas (mp005), 000000
-5529.914, -2925.074, -2.3601, script@proc@bountyhunting@jail_dropoffs@dropoff_tumbleweed.yas (anim_0), 4cc922
-5527.677, -2930.498, -2.366, script@mp@bounty@jail_dropoff@dead@horse@tum_sheriff.yas (mp005), 4cc922
-5527.677, -2930.498, -2.366, script@mp@bounty@jail_dropoff@dead@wagon@tum_sheriff.yas (mp005), 4cc922
-5524.3, -2938.6, -2.961, lightrig@online@online_coop_lobby_generic.yas (mp001), 000000
-5524.9, -2935.6, -2.95, 0x895DC414.yas (mp005), 4cc922
-5524.4434, -2927.817, -1.999, script@fast_travel@establisher@town@tumbleweed_3.yas (anim_0), n/a
-5521.924, -3044.513, -2.373269, lightrig_mp@horseshop@shop_tbl_horse_shop_lighting.yas (mp005), 000000
-5516.88, -2929.99, -2.97, script@mp@bar_brawl_intros@tweed.yas (mp006), 4cc922
-5516.88, -2929.99, -2.97, script@mpstory@mpgun4@ig@ig_9_beforehangingloops@loops.yas (mp005), 4cc922
-5516.88, -2929.99, -2.97, script@mpstory@mpgun4@ig@mpgun4_ig6_ig7_tomdavieshanging@mpgun4_ig6_ig7_tomdavieshanging.yas (mp005), 4cc922
-5516.88, -2929.99, -2.97, script@mpstory@mpgvo1@int_loops@action.yas (mp005), 4cc922
-5516.88, -2929.99, -2.97, script@specialped@pdsot_tumbleweed_sheriff@ig@ig_1@ig_1.yas (anim_0), 4cc922
-5516.88, -2929.99, -2.97, script@specialped@pdsot_tumbleweed_sheriff@ig@ig_2@ig2.yas (anim_0), 4cc922
-5516.88, -2929.99, -2.97, script@specialped@pdsot_tumbleweed_sheriff@ig@ig_2@ig2_arthur.yas (anim_0), c92222
-5516.88, -2929.99, -2.97, script@specialped@pdsot_tumbleweed_sheriff@ig@ig_3@ig_3.yas (anim_0), 4cc922
-5516.88, -2929.99, -2.97, script@specialped@pdsot_tumbleweed_sheriff@ig@ig_4@ig_4.yas (anim_0), 4cc922
-5516.88, -2929.99, -2.97, script@specialped@pdsot_tumbleweed_sheriff@ig@ig_5@ig5.yas (anim_0), 4cc922
-5516.88, -2929.99, -2.97, script@specialped@pdsot_tumbleweed_sheriff@ig@ig_6@ig6.yas (anim_0), 4cc922
-5516.88, -2929.99, -2.935, script@mpstory@mpgun4@ig@mpgun4_ig8_playercutsrope@mpgun4_ig8_playercutsrope.yas (mp005), 4cc922
-5516.879, -2929.9897, -2.972656, cutscene@mpgun4_mcs1.yas (mp004), 4cc922
-5516.879, -2929.9897, -2.972656, cutscene@mpgvo1_ext2.yas (mp001), 4cc922
-5516.879, -2929.9897, -2.972656, cutscene@mpgvo1_int.yas (mp001), 4cc922
-5513.17, -2906.66, -5.85, 0xEFD5A27.yas (anim_0), 4cc922
-5513.17, -2906.66, -5.85, script@rcm@gun4@stage_01@ig@ig1_entryrefused.yas (anim_0), 4cc922
-5513.17, -2906.66, -5.85, script@rcm@gun4@stage_01@ig@ig_takephoto@ig_takephoto.yas (anim_0), 4cc922
-5513.76, -2972.3, -1.78, script@mini_game@bathing@bathing_intro_outro_tumbleweed.yas (anim_0), 4cc922
-5513.167, -2906.66, -5.846, script@rcm@gun4@stage_01@leadin@int@leadin.yas (anim_0), 4cc922
-5510.117, -2947.1943, -1.892892, lightrig@shops@trapper_generic.yas (anim_0), 000000
-5510.126, -2947.1926, -1.893067, lightrig@shops@butcher_generic.yas (anim_0), 000000
-5492.837, -2929.04, -1.35931, script@fast_travel@establisher@town@tumbleweed_1.yas (anim_0), n/a
-5445.158, -3007.235, 9.54, 0x14636583.yas (mp005), 4cc922
-5436.5, -3000.6, 9.26, 0x60EAF32F.yas (mp005), 4cc922
-5432.57, -2927.988, -0.04, 0x1B0C01E.yas (mp005), 4cc922
-5427.2, -2931, -0.05, 0x8473BA40.yas (mp005), 4cc922
-5426.218, -3861.246, -15.0676, script@fast_travel@loc@fast_travel_loc_u96a.yas (anim_0), n/a
-5424.104, -3654.977, -23.147, script@proc@bountyhunting@banditoshack@barn.yas (anim_0), 4cc922
-5421.9, -2940.9, 1, script@mp@bounty@freeroam@obhebhr_tumbleweed_reveal@obhebhr_tumbleweed_reveal.yas (mp008), 4cc922
-5411.12, -3657.34, -21.8, 0xB871420E.yas (mp007), 4cc922
-5411.12, -3657.34, -21.8, script@mp@bounty@legendary@lbowl@ig@lbowl_ig2_bty3_p1@torturing_victim.yas (mp005), 4cc922
-5406.854, -3106.258, -2.681, cutscene@lbowl_int.yas (mp005), 4cc922
-5406.854, -3106.258, -2.68067, script@mp@bounty@legendary@int@riobravo1.yas (mp005), 4cc922
-5402.6006, -2967.4983, 14.476161, script@mp@establishers@tumbleweed.yas (patchpack002), n/a
-5387.1987, -2946.079, 2.464905, script@fast_travel@loc@fast_travel_loc_s96a.yas (anim_0), n/a
-5378.727, -3649.9514, -21.429127, script@mp@establishers@repentance.yas (patchpack003), n/a
-5368.463, -2796.995, 10.78035, script@fast_travel@loc@fast_travel_loc_s96b.yas (anim_0), n/a
-5364.23, -3395.1255, -12.66288, script@fast_travel@loc@fast_travel_loc_t96b.yas (anim_0), n/a
-5330.4053, -3340.879, -21.24135, script@fast_travel@loc@fast_travel_loc_t96a.yas (anim_0), n/a
-5259.166, -3529.137, -24.28167, script@fast_travel@establisher@settlement@benedict_point_2.yas (anim_0), n/a
-5246.8, -3435.4, -22.1, script@mp@establishers@benedictpoint.yas (patchpack003), n/a
-5243.54, -3854.65, -3.76, script@mpstory@mpintro@ig2@mpintro_ig2_gang_boss_a3.yas (patchpack002), 4cc922
-5227.357, -3469.135, -20.57, 0x58BF5D75.yas (patchpack002), 4cc922
-5227.357, -3469.135, -20.57, script@gfh@post@ig2_jobbriefs@stand@ig2_jobbriefs_stand.yas (mp005), 4cc922
-5226.274, -2126.4956, 13.18257, script@establisher@rathskellerfork.yas (anim_0), n/a
-5225.496, -3476.576, -21.063, 0x6F44FE66.yas (patchpack002), 4cc922
-5225.496, -3476.576, -21.063, 0xF53F41F1.yas (patchpack002), 4cc922
-5225.496, -3476.576, -21.063, script@gfh@post@ig2_jobbriefs@seated@ig2_jobbriefs.yas (mp005), 4cc922
-5225.496, -3476.576, -21.063, script@gfh@post@ig2_jobbriefs@seated_newspaper@ig2_jobbriefs.yas (mp005), 4cc922
-5213.164, -3491.886, -22.968, 0xEF64842E.yas (mp005), 4cc922
-5205.984, -3493.594, -22.60249, script@fast_travel@establisher@settlement@benedict_point_1.yas (anim_0), n/a
-5189.923, -2158.594, 10.962, script@ambient@generic@saddle_pickup_put_down_stand@pickup@action.yas (PS4), 4cc922
-5189.923, -2158.594, 10.962, script@ambient@generic@saddle_pickup_put_down_stand@putdown@action.yas (PS4), 4cc922
-5154.7285, -2137.5278, 12.11096, script@mp@establishers@rathskellerfork.yas (patchpack003), n/a
-5117.988, -2192.198, 5.269902, script@fast_travel@loc@fast_travel_loc_r96a.yas (anim_0), n/a
-5107.355, -2599.758, -9.704413, script@beat@wilderness@rally@crushed.yas (anim_0), 4cc922
-5104.41, -4136.41, -30.35, script@rcm@rcfsh@ig@ig2_fishing_catfish@ig2_fishing_catfish.yas (anim_0), 4cc922
-5104.407, -4136.407, -30.353, cutscene@rcfsh_ext.yas (anim_0), 4cc922
-5104.407, -4136.407, -30.353, cutscene@rcfsh_rsc3.yas (anim_0), 4cc922
-5104.407, -4136.407, -30.353, script@rcm@fsh@leadout@ext@leadout.yas (anim_0), c92222
-5094.2, -3432.7, 6.41, 0x9BE4C0FF.yas (mp005), 4cc922
-5088.467, -3891.012, -0.028992, script@beat@wilderness@oil_prospector@oil_prospector.yas (anim_0), 4cc922
-5068.3, -3139.74, -21, script@mp@bounty@legendary@lbowl@ig@lbowl_ig1_bty2@dead_horse.yas (mp005), 4cc922
-5020.569, -3108.948, -16.72766, script@mp@freemode_events@supply_train@rio_bravo.yas (mp005), n/a
-5018.3, -3323.5, 5.28, 0x402E8990.yas (mp005), 4cc922
-4978.9, -3513.8, 10.87, 0x51A52C7D.yas (mp005), 4cc922
-4956.9385, -2802.225, 10.24232, script@fast_travel@loc@fast_travel_loc_s97b.yas (anim_0), n/a
-4870.152, -3839.2979, 6.769342, script@cme@rarefish_cme_shot_6.yas (anim_0), n/a
-4834.076, -3010.51, -18.50161, script@mp@bounty@legendary@int@riobravo2.yas (mp005), 4cc922
-4830.2, -3472.6, 14.85, 0xF617F564.yas (mp005), 4cc922
-4819.849, -3752.9685, 13.770079, script@establisher@plainview.yas (anim_0), n/a
-4818.007, -2708.2026, -12.75631, script@mp@establishers@ridgewood.yas (patchpack003), n/a
-4817.809, -2691.054, -12.2664, script@mpstory@mpgun4@int@session_screen.yas (mp005), n/a
-4813.133, -3959.07, -26.13693, script@fast_travel@loc@fast_travel_loc_u97a.yas (anim_0), n/a
-4808.4033, -2761.0469, -14.53217, script@establisher@ridgewood_farm.yas (anim_0), n/a
-4798.065, -2713.953, -15.277832, cutscene@mpgun4_int.yas (mp004), 4cc922
-4758.32, -2421.9, 6.67, script@beat@wilderness@discoverables@water_diviner@water_diviner.yas (anim_0), 4cc922
-4706.4463, -3231.8481, 10.851977, script@establisher@repentance.yas (anim_0), n/a
-4677.191, -2744.591, -9.342145, script@fast_travel@loc@fast_travel_loc_s97a.yas (anim_0), n/a
-4666.111, -3538.062, 16.43553, script@fast_travel@loc@fast_travel_loc_t97a.yas (anim_0), n/a
-4616.84, -3153.79, 9.39, script@specialped@pdsnw_sun_worshipper@ig@ig_8@pdsnw_ig8_laying_down.yas (anim_0), 4cc922
-4608.802, -2735.542, -9.87169, script@fast_travel@loc@fast_travel_loc_r97a.yas (anim_0), n/a
-4587.544, -3603.475, 18.10813, script@fast_travel@loc@fast_travel_loc_t97b.yas (anim_0), n/a
-4451.401, -3291.4, 15.6, 0x55249B2E.yas (mp005), 4cc922
-4442.277, -2273.8564, 32.947514, script@establisher@rattlesnake_hollow.yas (anim_0), n/a
-4418.3, -3021.1, -16, 0xA2CEFFE9.yas (mp005), 4cc922
-4413.6943, -2289.2766, 32.048206, script@fast_travel@loc@fast_travel_loc_r98a.yas (anim_0), n/a
-4406.019, -2886.283, -11.84492, script@fast_travel@loc@fast_travel_loc_s98a.yas (anim_0), n/a
-4379.5, -3578.5, 33.05, 0x62DEB6A2.yas (mp005), 4cc922
-4367.83, -3071.64, -11.1, script@mp@bounty@legendary@lbcle@ig@lbcle_ig1_bribe@bribe.yas (mp005), 4cc922
-4367.83, -3071.64, -11.1, script@mp@bounty@legendary@lbcle@ig@lbcle_ig2_banter@banter.yas (mp005), 4cc922
-4367.826, -3071.6372, -11.104492, cutscene@mpgvo1_ext1.yas (mp001), 4cc922
-4362.938, -3089.474, -11.0712, script@mp@freemode_events@supply_train@mercer_station.yas (mp005), n/a
-4360.8, -3069.7, -11.14, 0x53146075.yas (mp005), 4cc922
-4313.045, -3329.154, 39.61332, script@fast_travel@loc@fast_travel_loc_t98a.yas (anim_0), n/a
-4267.03, -3051.213, -9.985, cutscene@lbcle_int.yas (mp005), 4cc922
-4245.9, -3048.8, -9.44, 0x90945B74.yas (mp005), 4cc922
-4244.401, -3109.8, 5.77, 0x9AA4EF99.yas (mp005), 4cc922
-4224.1, -3606.1, 52.54, 0x7E06ECF2.yas (mp005), 4cc922
-4203.75, -3442.45, 37.1, cutscene@mprev1_ext.yas (mp001), 4cc922
-4203.75, -3442.45, 37.1, cutscene@mprev1_mcs2.yas (mp001), 4cc922
-4198.4, -3735.4, 0.2, script@cme@rarefish_cme_shot_5.yas (anim_0), n/a
-4193.291, -2859.186, 8.098267, script@establisher@jorges_gap.yas (anim_0), n/a
-4191.427, -3738.125, 0.416955, script@fast_travel@loc@fast_travel_loc_u98a.yas (anim_0), n/a
-4180.89, -3393.6965, 37.55987, script@establisher@fort_mercer.yas (anim_0), n/a
-4180.2534, -3371.803, 39.883232, script@mp@establishers@fortmercer.yas (patchpack002), n/a
-4145.069, -3351.861, 43.69223, cutscene@mprev1_mcs1.yas (mp001), 4cc922
-4130.3, -3860.4, -25, script@cme@rarefish_cme_shot_7.yas (anim_0), n/a
-4003.29, -2907.002, -15.4539, script@mp@bounty@legendary@int@riobravo_new.yas (mp005), 4cc922
-3963.172, -2195.4043, -6.371427, script@fast_travel@loc@fast_travel_loc_r99a.yas (anim_0), n/a
-3962.47, -2144.9, -6.51, script@mpstory@mpgvo1@ig1_players_choice@allison_cliff.yas (mp005), 4cc922
-3962.47, -2144.9, -6.51, script@mpstory@mpgvo1@ig1_players_choice@camera.yas (mp005), n/a
-3962.47, -2144.9, -6.51, script@mpstory@mpgvo1@ig1_players_choice@mpgvo1_ig1_choice_camera.yas (mp005), n/a
-3962.47, -2144.9, -6.51, script@mpstory@mpgvo1@ig1_players_choice@mpgvo1_ig1_choice_player_1.yas (mp005), 4cc922
-3962.47, -2144.9, -6.51, script@mpstory@mpgvo1@ig1_players_choice@mpgvo1_ig1_choice_player_2.yas (mp005), 4cc922
-3962.47, -2144.9, -6.51, script@mpstory@mpgvo1@ig1_players_choice@mpgvo1_ig1_choice_player_3.yas (mp005), 4cc922
-3962.47, -2144.9, -6.51, script@mpstory@mpgvo1@ig1_players_choice@mpgvo1_ig1_choice_player_4.yas (mp005), 4cc922
-3962.47, -2144.9, -6.51, script@mpstory@mpgvo1@ig1_players_choice@players.yas (mp005), 4cc922
-3962.472, -2144.902, -6.514648, cutscene@mpgvo1_mcs1.yas (mp001), 4cc922
-3962.472, -2144.902, -6.514648, cutscene@mpgvo1_mcs2.yas (mp001), 4cc922
-3915.0835, -2387.183, 6.404378, script@cme@gunvout1_pushin.yas (patchpack002), n/a
-3905.163, -3964.619, -16.49806, script@fast_travel@loc@fast_travel_loc_u99a.yas (anim_0), n/a
-3867.278, -2320.158, 8.464249, script@fast_travel@loc@fast_travel_loc_r99b.yas (anim_0), n/a
-3865.3, -3103, -15, 0x46AFFE45.yas (mp005), 4cc922
-3845.5, -3048.9, -5.3, script@mpstory@mprev1@int_loops@session_screen.yas (patchpack002), n/a
-3841, -3014.6, -7, cutscene@mprev1_int.yas (mp001), 4cc922
-3841, -3014.6, -7, script@mpstory@mprev1@int_loops@int_loops.yas (patchpack002), 4cc922
-3816.7, -2982.8, -6.6425, script@beat@wilderness@discoverables@donkey_lady@donkey_lady.yas (anim_0), 4cc922
-3782.2588, -2727.9639, -13.949989, script@fast_travel@loc@fast_travel_loc_s99b.yas (anim_0), n/a
-3751.906, -3591.355, 46.72511, script@fast_travel@loc@fast_travel_loc_t99a.yas (anim_0), n/a
-3749.325, -2613.027, -14.7384, script@mp@freemode_events@supply_train@armadillo.yas (mp005), n/a
-3745.6526, -2626.0417, -7.772094, script@mp@establishers@armadillo.yas (patchpack002), n/a
-3735.2979, -2549.3494, -13.776691, script@fast_travel@loc@fast_travel_loc_s99a.yas (anim_0), n/a
-3726.34, -2591.22, -14.51, script@mp@bounty@freeroam@obhebhr_benpoint_reveal@obhebhr_benpoint_reveal.yas (mp008), 4cc922
-3725.1606, -2618.2703, -13.069861, script@establisher@armadillo.yas (anim_0), n/a
-3718.392, -2645.473, -11.18536, script@fast_travel@establisher@stagecoach@armadillo.yas (anim_0), n/a
-3718.734, -2574.748, -14.91146, script@beat@town@fleeingfamily@main.yas (anim_0), c92222
-3716.686, -3601.236, 44.64437, script@beat@wilderness@discoverables@lightning_alley@lightning_alley.yas (anim_0), 4cc922
-3713.43, -2620.79, -13.71, script@beat@town@deadbodies@firstencounter.yas (anim_0), 4cc922
-3712.658, -2571.608, -14.6866, 0xB61F186E.yas (mp005), 4cc922
-3709.726, -2619.656, -14.099628, script@beat@town@deadbodies@corpse.yas (anim_0), 4cc922
-3708.973, -2600.165, -14.313, script@beat@town@rowdydrunks@armadillo@shove.yas (anim_0), 4cc922
-3701.991, -2637.323, -14.71, 0xE50A7644.yas (mp005), 4cc922
-3682.435, -2622.561, -14.4017, cutscene@trint_intb.yas (mp005), 4cc922
-3672.879, -2613.074, -13.5715, script@fast_travel@establisher@town@armadillo_2.yas (anim_0), n/a
-3671.64, -2609.89, -15.08, script@mp@bar_brawl_intros@arm.yas (mp006), 4cc922
-3671.617, -2610.1626, -15.10435, script@fast_travel@establisher@town@armadillo_1.yas (anim_0), n/a
-3671.754, -2610.9004, -14.75972, script@fast_travel@establisher@town@armadillo_3.yas (anim_0), n/a
-3665.74, -2584.998, -14.69942, 0xD2D4D1D9.yas (mp005), 4cc922
-3639.51, -2753.719, -11.34159, script@fast_travel@loc@fast_travel_loc_s03a.yas (anim_0), n/a
-3624.659, -2602.753, -14.3534, script@mp@bounty@jail_dropoff@alive@arm_dropoff.yas (mp005), 4cc922
-3624.698, -2605.416, -14.3515, script@mp@bounty@jail_dropoff@dead@horse@arm_sheriff.yas (mp005), 4cc922
-3624.698, -2605.416, -14.3515, script@mp@bounty@jail_dropoff@dead@wagon@arm_sheriff.yas (mp005), 4cc922
-3624.797, -2606.503, -14.3557, script@beat@town@banditobreakout@surrender.yas (anim_0), 4cc922
-3619.148, -2604.207, -14.35159, lightrig_mp@prisonvignette@armadillo_prison_lighting.yas (mp005), 000000
-3613.438, -2638.218, -12.78, 0x19F2F6D.yas (mp005), 4cc922
-3575.776, -2603.068, -14.712944, script@beat@town@deadbodies@firstunload.yas (anim_0), 4cc922
-3552.427, -3009.681, 10.7983, script@proc@gangencounters@dellobo@party@main.yas (anim_0), 4cc922
-3542.2876, -1825.6681, 44.82356, script@establisher@twin_rocks.yas (anim_0), n/a
-3540.935, -3355.991, 11.8494, script@mp@naturalist@animal_sightings@legendary_ram.yas (mp007), 4cc922
-3525.711, -3123.885, 12.97918, script@fast_travel@loc@fast_travel_loc_t03a.yas (anim_0), n/a
-3497.9, -2285.7595, -3.331724, script@fast_travel@loc@fast_travel_loc_r03b.yas (anim_0), n/a
-3442.7283, -2251.8616, -1.720542, script@load_screens@loc@r03a.yas (anim_0), n/a
-3442.8242, -2216.3748, -3.562455, script@fast_travel@loc@fast_travel_loc_r03a.yas (anim_0), n/a
-3427.5, -2645.7, -11.7, 0x3920BD06.yas (mp005), 4cc922
-3412.9524, -3144.277, -9.177253, script@establisher@lake_don_julio.yas (anim_0), n/a
-3405.7, -2769.5, -5.605, 0x7DDC4680.yas (mp005), 4cc922
-3400.59, -3297.696, -6.257813, cutscene@gfh_lan_int.yas (mp001), 4cc922
-3351.316, -2824.046, -7.309318, script@fast_travel@loc@fast_travel_loc_s03b.yas (anim_0), n/a
-3350.3, -2797.5, -7.86, 0x625B8F7F.yas (mp005), 4cc922
-3349.779, -2830.57, -7.446861, script@load_screens@loc@s03a.yas (anim_0), n/a
-3334.38, -2867.77, -7.1, script@mp@endflow@endcelebration@16v16_wagon.yas (mp005), 4cc922
-3334.2222, -2832.8794, -5.59691, 0x2D3CE913.yas (anim_0), 4cc922
-3333.2, -2754.2, -4.79, 0x90916BEA.yas (mp005), 4cc922
-3324.7, -2498.4, 3.3, script@beat@wilderness@discoverables@dead_chinese_traveler@dead_chinese_traveler.yas (anim_0), 4cc922
-3316.2, -2858.7, -6.1, cutscene@mpgvo3_ext1.yas (mp001), 4cc922
-3316.2, -2858.7, -6.1, cutscene@mpgvo3_ext2.yas (mp001), 4cc922
-3316.2, -2858.7, -6.1, cutscene@mpgvo3_ext2_p1a1_t04.yas (mp001), 4cc922
-3316.2, -2858.7, -6.1, script@mp@endflow@endcelebration@16v16_v5.yas (mp005), 4cc922
-3316.2, -2858.7, -6.1, script@mpstory@mpgvo3@ext_loops@ext_loops.yas (patchpack002), 4cc922
-3313.446, -2871.154, -7.2084, script@beat@wilderness@burningbodies@burnbodies_a.yas (anim_0), 4cc922
-3302.019, -2768.38, -3.480079, script@story@fin2@ig@endcredits@vultures_credits.yas (anim_0), n/a
-3218.1729, -3148.1326, 1.356759, script@mp@establishers@lakedonjulio.yas (patchpack003), n/a
-3199, -2538, 67, script@story@sad5@ig@ig_1_scope@action.yas (anim_0), 4cc922
-3199, -2538, 67, script@story@sad5@ig@ig_1_scope@wnt.yas (anim_0), c92222
-3198.3, -2387.5, 21, script@cme@sad5_cme_shot5.yas (anim_0), n/a
-3177.568, -2408.681, 30.88473, script@fast_travel@loc@fast_travel_loc_r04a.yas (anim_0), n/a
-3173.0876, -2408.5125, 24.82298, script@establisher@pikes_basin.yas (anim_0), n/a
-3168.6, -2611.8, 9.5, script@cme@sad5_cme_shot6.yas (anim_0), n/a
-3141.791, -2433.276, 26.26338, script@load_screens@loc@r04a.yas (anim_0), n/a
-3105.095, -2447.363, 23.0916, script@mp@naturalist@protect@cougar_scene.yas (mp007), 4cc922
-3071.1, -2458.3, 25.5, cutscene@mpgvo3_mcs1.yas (mp001), 4cc922
-3071.1, -2458.3, 25.5, script@mpstory@mpgvo3@ig@ig2_choice@mpgvo3_ig2_choice.yas (mp005), 4cc922
-3071.1, -2458.3, 25.5, script@mpstory@mpgvo3@ig@ig2_choice@mpgvo3_ig2_choice_camera.yas (mp005), n/a
-3071.1, -2458.3, 25.5, script@mpstory@mpgvo3@ig@ig2_choice@mpgvo3_ig2_choice_deadguy.yas (mp005), 4cc922
-3071.1, -2458.3, 25.5, script@mpstory@mpgvo3@ig@ig2_choice@mpgvo3_ig2_choice_player1.yas (mp005), 4cc922
-3071.1, -2458.3, 25.5, script@mpstory@mpgvo3@ig@ig2_choice@mpgvo3_ig2_choice_player2.yas (mp005), 4cc922
-3071.1, -2458.3, 25.5, script@mpstory@mpgvo3@ig@ig2_choice@mpgvo3_ig2_choice_player3.yas (mp005), 4cc922
-3071.1, -2458.3, 25.5, script@mpstory@mpgvo3@ig@ig2_choice@mpgvo3_ig2_choice_player4.yas (mp005), 4cc922
-3071.1, -2458.3, 25.585, script@beat@wilderness@discoverables@tightropecorpse@tightropecorpse.yas (anim_0), 4cc922
-3071.667, -3461.239, -11.25195, script@fast_travel@loc@fast_travel_loc_t04a.yas (anim_0), n/a
-3069.031, -3041.133, 4.505722, script@fast_travel@loc@fast_travel_loc_s04a.yas (anim_0), n/a
-2992.126, -2272.6746, 48.59576, script@fast_travel@loc@fast_travel_loc_r04b.yas (anim_0), n/a
-2983.219, -2712.931, 85.49, script@ambient@animal@dreams_coyotecoyote_01_odriscolls_03.yas (anim_0), 4cc922
-2983.219, -2712.931, 85.49, script@ambient@animal@dreams_coyotecoyote_06_finale_01.yas (anim_0), 4cc922
-2940.905, -2787.2046, 90.24872, script@load_screens@loc@s04a.yas (anim_0), n/a
-2905.27, -254.32, 185.7, script@beat@wilderness@discoverables@pagan_ritual@pagan_ritual.yas (anim_0), 4cc922
